timestamp,cpu_pct,ram_pct,disk_pct,bandwidth_kbps,packet_rate_pps,temperature_c,fan_rpm,process_count,task_priority,protocol,attack_type,severity,threat_type,cpu_delta,ram_delta,cpu_rolling_mean,ram_rolling_mean,cpu_rolling_std,ram_rolling_std,bw_rolling_mean,bw_spike,ram_available_mb,disk_free_gb,pred_cpu,pred_ram,pred_disk,anomaly_label,anomaly_score,is_anomaly,anomaly_source,workload,wl_conf
2026-04-25 04:02:00,2.2,59.1,35.5,1.82,2.92,,,329,Low,,,,,-1.0999999999999996,0.10000000000000142,3.1,58.92857142857143,2.172202002222984,0.06112498455021353,11.799285714285714,0.1542466250983716,6585.6,305.97,4.6,58.31,34.21,Normal,0.5862,False,supervised_rf,Low,0.988
2026-04-25 04:02:02,3.7,59.0,35.5,15.26,5.3,,,330,Low,,,,,1.5,-0.10000000000000142,3.04,58.940000000000005,2.1060457192161266,0.07367883976130177,11.133999999999999,1.3705766121789116,6592.52,305.97,4.81,58.15,34.51,Normal,0.5862,False,supervised_rf,Low,0.948
2026-04-25 04:02:04,2.2,59.0,35.5,3.87,5.8,,,330,Low,,,,,-1.5,0.0,2.6333333333333333,58.93333333333333,1.0125404165948613,0.06172133998483764,12.151333333333334,0.31848356833269326,6592.14,305.97,4.57,58.29,34.45,Normal,0.5862,False,supervised_rf,Low,0.996
2026-04-25 04:02:06,2.2,59.0,35.5,6.09,2.9,,,329,Low,,,,,0.0,0.0,2.46,58.93333333333333,0.8192330908495195,0.06172133998483764,6.226,0.9781561194988757,6603.8,305.97,4.12,57.98,34.53,Normal,0.5862,False,supervised_rf,Low,0.98
2026-04-25 04:02:08,3.8,59.0,35.5,1.82,2.41,,,329,Low,,,,,1.5999999999999996,0.0,2.46,58.940000000000005,0.8192330908495195,0.06324555320336848,5.630666666666667,0.32322993132843947,6594.39,305.97,4.73,57.72,34.71,Normal,0.5349,False,supervised_rf,Low,0.992
2026-04-25 04:02:10,3.7,59.0,35.5,1.66,3.85,,,329,Low,,,,,-0.09999999999999964,0.0,2.566666666666667,58.94666666666667,0.8845230083954585,0.06399404734221935,5.676666666666667,0.2924251321197886,6596.09,305.97,4.34,57.7,34.71,Normal,0.5862,False,supervised_rf,Low,0.996
2026-04-25 04:02:12,4.3,59.0,35.5,0.0,0.0,,,329,Low,,,,,0.5999999999999996,0.0,2.606666666666667,58.95333333333333,0.9230900487467287,0.06399404734221935,5.787333333333334,0.0,6593.8,305.97,4.49,57.97,34.56,Normal,0.5349,False,supervised_rf,Low,0.964
2026-04-25 04:02:14,5.8,59.1,35.5,58.77,5.78,,,329,Low,,,,,1.5,0.10000000000000142,2.7,58.96,1.0205040771249134,0.06324555320336848,5.745333333333334,10.22917150150847,6581.87,305.97,5.37,57.97,34.53,Alert,0.6296,True,supervised_rf,Low,0.904
2026-04-25 04:02:17,5.5,59.1,35.5,25.25,6.75,,,329,Low,,,,,-0.2999999999999998,0.0,2.82,58.973333333333336,1.2616315966692835,0.07037315505490067,9.483333333333333,2.662565905096661,6584.66,305.97,5.58,58.28,34.53,Normal,0.5862,False,supervised_rf,Low,0.932
2026-04-25 04:02:19,4.0,59.0,35.5,26.75,9.67,,,329,Low,,,,,-1.5,-0.10000000000000142,3.0266666666666664,58.986666666666665,1.430517721798983,0.07432233529572171,8.067333333333334,3.3158416659780183,6590.81,305.97,4.31,58.19,34.35,Normal,0.5962,False,supervised_rf,Low,0.928
