CPU_Usage,Memory_Usage,Bandwidth,Task_Priority,Traffic_Type,Packet_Rate,Failed_Logins,Malware_Alerts,Intrusion_Alerts,Label
30.0,23.720877097264747,295.72685296043346,Low,HTTP,1469.810950460893,1,0,0,Normal
85.3014233889553,70.3922149524271,776.7503127246454,Critical,DNS,3454.066000256524,1,0,0,Normal
33.43309016141575,24.510334197005818,197.0953787607127,Low,HTTP,703.9070589561984,0,0,0,Normal
73.49335531485849,56.28284256098523,933.1593511237979,High,FTP,3579.6804923057302,1,0,0,Attack
52.4240228603594,42.35467395733582,476.01673119899124,Medium,HTTPS,1619.0260671875685,1,0,0,Normal
57.20877097264747,51.161945221624045,412.4227226625174,Medium,HTTPS,1712.3137478152696,1,0,0,Normal
67.56520637922222,58.392413014266985,650.9498247241169,High,HTTPS,3230.6908006811523,0,0,0,Normal
39.93480780869504,29.384380956471396,286.3716310282976,Low,HTTP,1386.3643391055016,1,0,0,Normal
49.74665799320064,44.72395485991492,408.9638555471174,Medium,HTTP,1611.5438527743045,0,0,0,Normal
62.377473034575814,53.84454902024196,412.5158292290061,High,HTTPS,1871.3410651738218,0,0,0,Normal
88.29074118417338,69.60517841244919,777.1250890714405,Critical,DNS,3258.725052523971,0,0,0,Normal
89.27137417384074,79.03871106064015,894.5449435961981,Critical,SSH,4355.117308128578,0,0,0,Attack
40.74262455877033,32.057890968493815,338.3423241600017,Medium,HTTP,1321.6206786416872,1,0,0,Normal
89.71030817403516,74.35524514293377,636.6463614595012,Critical,DNS,2184.2459543847463,1,0,0,Normal
78.96151158798602,60.36834347285823,448.4081815616014,High,DNS,1968.2562272558841,0,0,0,Normal
66.50898433592374,56.67067360800203,642.4409417161285,High,SSH,2950.052179081965,4,0,0,Attack
85.61272902574274,69.44956950555321,640.093823760542,Critical,DNS,2282.818412745161,0,0,0,Normal
56.051736840745434,46.64487013789484,280.34768220314635,Medium,HTTPS,1129.1852513529614,0,0,0,Normal
68.65117506458773,53.81343534126572,398.8309535928133,High,HTTPS,1310.1840110557641,0,0,0,Normal
49.35861633901368,35.891255333062084,350.4939298501742,Medium,HTTP,1131.6643001995888,0,0,0,Normal
85.62263883824926,65.59498471671847,1049.8397899924882,Critical,SSH,3784.042404674849,0,0,1,Attack
63.36183519393671,50.63021162429789,545.9915257725579,High,HTTPS,1764.5255370095608,0,0,0,Normal
69.65258580883528,48.761233794076645,447.7621985063584,High,HTTPS,2070.451011607316,1,0,0,Normal
55.16029532183893,40.39835982580826,391.0984965946044,Medium,HTTPS,1606.548802493295,0,0,0,Normal
48.14583549028612,37.748198244100074,489.01893487942505,Medium,SSH,1862.8137375185108,0,0,0,Attack
49.82818191565457,44.696696226465946,392.62632071826863,Medium,HTTP,1863.3259616251967,0,0,0,Normal
59.7194374310493,50.44391212561553,591.6764777810397,Medium,HTTPS,2336.733523194073,1,0,0,Normal
30.019053396972595,22.728635581535517,288.26825235341795,Low,HTTP,994.5205536315485,0,0,0,Normal
39.71434121282073,31.120503444608453,291.95533845955634,Low,HTTP,1056.4939304426575,0,0,0,Normal
55.211609849720844,40.863193032676485,488.1272672399589,Medium,HTTPS,1635.1470880585157,0,0,0,Normal
89.10491919286869,72.63691721506837,711.3486854371008,Critical,DNS,2375.633448368034,0,0,0,Normal
73.4044908771466,65.79274761595622,709.9183623486258,High,DNS,2246.460553157223,1,0,0,Normal
47.1420948652667,41.67897258187869,342.5066726504064,Medium,HTTP,1582.9952488316444,0,0,0,Normal
55.08261117443908,43.73864075387008,334.7455973650616,Medium,HTTPS,1015.397592785555,0,0,0,Normal
52.035871498228516,44.41995505050101,640.9298316500314,Medium,FTP,2035.6650791194293,0,0,0,Attack
64.55524298668024,52.89210053786983,579.696881354618,High,HTTPS,1828.975154696428,1,0,0,Normal
98.89123606648354,87.70197184486206,834.481458386434,Critical,FTP,3500.847818934988,0,0,1,Attack
95.23411423059315,75.29365458611595,920.875355454653,Critical,FTP,3207.370084932763,3,0,0,Attack
58.21659769553662,43.25995168821833,332.57119229946545,Medium,HTTPS,1255.8349323002967,0,0,0,Normal
76.09230962152651,63.837108862468874,423.98065005861497,High,DNS,1550.2236798640802,0,0,0,Normal
65.79924770223442,56.534338507112246,428.41888073433796,High,HTTPS,1600.4446876883587,1,0,0,Normal
86.05584680699394,65.11313190390382,480.1447057797624,Critical,DNS,1927.650635807803,0,0,0,Normal
57.18492641346529,45.90693270665996,518.0949881358391,Medium,HTTPS,1733.8226453780815,0,0,0,Normal
42.92586685223796,31.271755847654195,333.5109854091349,Medium,HTTP,1019.8023743616832,0,0,0,Normal
71.68289350127452,51.81791529833654,503.4446496149641,High,DNS,1701.9135163425135,0,0,0,Normal
87.758289713056,66.73491270613547,1021.8124865615529,Critical,FTP,4281.174858938795,1,0,1,Attack
56.99142819408735,41.2149579543917,620.2182148224911,Medium,SSH,2051.834205044535,2,1,0,Attack
70.83409170489176,61.08729862928072,633.8557911520636,High,FTP,2779.785052263894,1,0,0,Attack
38.55182998609962,31.25699749721752,252.38759095363739,Low,HTTP,850.1229464902801,0,0,0,Normal
46.86310122546274,36.59674326830083,475.3016968021975,Medium,FTP,1467.9071498113235,4,0,0,Attack
48.13199616015481,42.09528081878291,281.52630861183667,Medium,HTTP,1257.7916659783873,1,0,0,Normal
36.95345735519368,29.375571800766412,199.95449242450232,Low,HTTP,772.4107520824318,0,0,0,Normal
78.71990658304185,58.646196131926295,712.7681927965629,High,DNS,2265.9360719131137,1,0,0,Normal
63.233570301235886,48.17565509944347,321.43855021460007,High,HTTPS,1142.6349705896885,1,0,0,Normal
54.27862632626784,39.89390902807406,295.2909569155582,Medium,HTTPS,941.4315002319793,1,0,0,Normal
82.37399761303095,60.4593742105463,443.80110026552717,Critical,DNS,1665.4590263092202,1,0,0,Normal
58.48029848799342,41.897582932654416,467.146091372517,Medium,HTTPS,1854.3922116766635,1,0,0,Normal
43.49948829039931,37.50436226005519,270.01849414757896,Medium,HTTP,1003.3682027024703,0,0,0,Normal
48.56050134418183,34.15425720084316,337.0267113136905,Medium,HTTP,1310.4540672258097,0,0,0,Normal
40.49512890178448,29.059758990929733,268.92357387302604,Medium,HTTP,1305.906837918283,0,0,0,Normal
40.18856421622331,28.75513603487566,274.859702291287,Medium,HTTP,1272.8282653492722,0,0,0,Normal
34.9317839473224,28.627426204893748,263.2746118073448,Low,HTTP,864.310983782589,1,0,0,Normal
78.6538168656989,58.85631994891352,461.40969658552984,High,DNS,1873.065455750223,0,0,0,Normal
